vmag,ra,de,pmRa,pmDe,sRgbR,sRgbG,sRgbB
3.76,4.38225,17.5425,0.107,-0.03,1.290627,0.9479049,0.663932
6.01,4.358694,-25.72833,0.048,-0.05,0.9623215,0.9915266,1.200481
5.99,4.392333,20.98222,0.016,-0.028,0.8284677,0.9952433,1.559035
5.64,4.390278,16.77722,0.104,-0.028,0.9397373,0.9929382,1.253181
5.73,4.408111,34.13056,0.019,-0.044,0.7957208,0.9941736,1.666419
6.36,4.399944,24.30111,0.006,-0.01,0.8838352,0.9951422,1.396449
5.76,4.410389,33.95972,0.043,-0.072,0.9854823,0.9897984,1.149222
4.8,4.401611,17.44389,0.11,-0.038,0.8756096,0.995297,1.419215
5.12,4.39775,9.460833,-0.015,-0.008,0.843752,0.9954435,1.511886
6.32,4.45025,57.58528,0.009,-0.012,0.8322476,0.9953098,1.547205
5.17,4.394667,-3.745556,-0.05,-0.057,0.8476411,0.9954656,1.500175
5.83,4.384917,-24.89222,0.018,-0.015,1.605082,0.8835657,0.3741778
5.98,4.415861,19.04167,0.105,-0.044,0.9715175,0.9908733,1.179802
6.39,4.385472,-35.545,-0.006,0,1.443694,0.9183328,0.5055358
4.22,4.422806,22.29389,0.096,-0.048,0.8674873,0.9954039,1.442151
5.28,4.423611,22.19972,0.109,-0.054,0.9177461,0.9940347,1.307261
4.29,4.424833,17.92806,0.108,-0.028,0.836055,0.9953655,1.535403
5.28,4.435083,31.43889,0.076,-0.11,1.28489,0.9489328,0.6706696
6.46,4.427028,15.94083,0.107,-0.028,1.028574,0.9858926,1.060716
4.28,4.438472,22.81361,0.107,-0.046,0.9220961,0.9938405,1.296338
3.96,4.400611,-34.01694,0.069,0.051,1.59301,0.8862817,0.3828574
4.49,4.439111,15.61833,0.112,-0.023,0.9177461,0.9940347,1.307261
5.24,4.364806,-63.38639,0.089,0.173,1.279166,0.9499515,0.6774598
4.69,4.443444,14.71361,-0.002,-0.033,1.290627,0.9479049,0.663932
6.06,4.439194,8.590278,-0.001,-0.006,0.8247156,0.9951659,1.57089
6.55,4.415667,-34.75778,-0.013,-0.11,1.004415,0.9881883,1.109282
5.53,4.454861,22.99639,0.006,-0.017,0.781925,0.9934445,1.714426
6.23,4.450194,2.079444,0.065,-0.047,1.354547,0.9360177,0.5931965
5.94,4.558528,72.52861,0.027,-0.089,0.9397373,0.9929382,1.253181
5.88,4.458,11.2125,-0.003,-0.003,0.836055,0.9953655,1.535403
5.72,4.466889,21.62,0.095,-0.038,0.9264704,0.9936338,1.285468
6.39,4.421972,-44.16083,0.035,0.067,1.004415,0.9881883,1.109282
6.29,4.403389,-57.07139,-0.098,-0.077,1.114588,0.9757859,0.9070064
6.4,4.481083,30.36139,0.01,-0.023,1.043325,0.9843654,1.032307
4.97,4.474,16.35972,0.006,0.028,1.378119,0.9314479,0.5689601
5.9,4.473167,14.74083,0.108,-0.024,0.9487008,0.9924115,1.231931
3.53,4.476944,19.18028,0.107,-0.038,1.307917,0.9447668,0.6440313
6.11,4.449167,-24.08139,-0.003,-0.015,0.8715355,0.9953564,1.430662
3.84,4.47625,15.96222,0.103,-0.027,1.273455,0.9509609,0.6843027
3.4,4.477694,15.87083,0.103,-0.025,0.8879863,0.9950467,1.385133
6.15,4.467667,1.858611,0.027,0.004,1.313705,0.943703,0.6375007
5.03,4.480611,13.0475,0.105,-0.016,0.9091193,0.9943857,1.329262
5.55,4.475583,1.380833,0.019,-0.021,0.781925,0.9934445,1.714426
5.94,4.418139,-61.23833,-0.024,0.014,1.623231,0.8794511,0.3614414
5.77,4.533833,53.91083,0,-0.003,0.8879863,0.9950467,1.385133
6.1,4.451667,-46.9475,0.068,-0.275,1.014014,0.9873076,1.089673
6.21,4.510639,32.45806,-0.004,-0.011,0.8027965,0.9944818,1.64245
6.79,4.49525,10.52167,0.004,0.001,0.8515572,0.9954764,1.488497
5.96,4.4775,-19.45833,0.028,-0.09,1.431855,0.9207385,0.5166105
5.58,4.502389,15.63806,0.102,-0.024,0.9487008,0.9924115,1.231931
5.6,4.48525,-13.04833,0.002,0,0.7405209,0.9901739,1.869259
6.26,4.523333,40.01028,-0.006,-0.014,0.8322476,0.9953098,1.547205
6.48,4.500667,10.2625,-0.007,-0.067,1.319505,0.9426305,0.6310211
5.69,4.29975,-80.21389,0.018,0.061,1.211584,0.9614226,0.7631477
4.78,4.509361,16.19389,0.107,-0.027,0.8838352,0.9951422,1.396449
5.48,4.510806,15.69194,0.103,-0.023,0.9220961,0.9938405,1.296338
6.44,4.469278,-41.96,-0.011,-0.006,1.68409,0.8653929,0.3213205
5.4,4.510361,13.72444,0.106,-0.023,0.9220961,0.9938405,1.296338
6.24,4.502694,-13.59222,-0.025,0.009,1.302141,0.9458218,0.6506131
6.02,4.531056,15.85167,0.101,-0.027,0.957758,0.9918342,1.210907
6.16,4.488889,-46.51528,0.046,0.03,1.336976,0.9393615,0.611885
6.09,4.556917,43.06389,0.004,0.004,0.9761498,0.9905277,1.16955
5.75,4.46275,-62.52083,-0.019,0.014,1.307917,0.9447668,0.6440313
6.39,4.534667,5.41,0.114,0.009,0.9949045,0.9890186,1.129132
4.91,4.531306,-0.04388889,0.003,-0.009,1.491187,0.9084697,0.4632215
6.21,4.523861,-13.645,-0.011,-0.063,0.8634652,0.9954395,1.45368
5.96,4.511194,-35.65361,0,0.031,1.302141,0.9458218,0.6506131
5.94,4.606722,64.26167,-0.026,-0.009,0.8063781,0.9946213,1.630482
5.81,4.543722,-3.209167,-0.005,-0.006,0.7686149,0.9925749,1.762392
6.25,4.559139,18.01667,0.011,-0.024,0.843752,0.9954435,1.511886
5.07,4.513917,-44.95389,0.007,-0.008,0.7526829,0.9913102,1.822032
4.65,4.564139,14.84444,0.103,-0.027,0.9177461,0.9940347,1.307261
5.88,4.577222,28.96111,0.002,-0.025,0.7957208,0.9941736,1.666419
6.01,4.563361,9.413056,-0.016,-0.043,1.336976,0.9393615,0.611885
6.06,4.556111,-10.78583,-0.005,0.015,1.526972,0.9008257,0.4334489
5.68,4.568972,5.568611,-0.01,-0.005,0.836055,0.9953655,1.535403
5.72,4.565222,-6.738889,0,-0.007,0.7718961,0.9928048,1.750413
6.09,4.570611,-6.837778,-0.018,-0.037,1.526972,0.9008257,0.4334489
5.11,4.569889,-8.231389,-0.018,-0.001,1.720887,0.8567117,0.2988666
5.26,4.569917,-8.970278,-0.037,-0.111,1.580958,0.888976,0.3916917
4.51,4.5585,-29.76667,-0.102,-0.275,1.290627,0.9479049,0.663932
4.25,4.6115,41.26472,-0.005,-0.016,1.431855,0.9207385,0.5166105
6.36,4.595194,19.88167,-0.001,-0.017,1.302141,0.9458218,0.6506131
5.79,4.349417,-81.58,0.003,0.127,0.9623215,0.9915266,1.200481
0.85,4.598667,16.50917,0.063,-0.19,1.623231,0.8794511,0.3614414
4.25,4.59425,10.16083,0.055,-0.046,0.8879863,0.9950467,1.385133
6.02,4.608111,23.34083,0.112,-0.055,0.9761498,0.9905277,1.16955
6.37,4.587222,-9.736667,0.021,-0.023,0.8594694,0.9954634,1.465249
6.13,4.583472,-19.92056,0.081,0.081,1.40184,0.9267572,0.5454844
6.33,4.600444,-3.611944,-0.007,-0.013,0.781925,0.9934445,1.714426
3.93,4.605306,-3.3525,0.002,-0.005,0.7465358,0.9907548,1.845714
3.82,4.5925,-30.56222,-0.045,-0.012,1.290627,0.9479049,0.663932
3.27,4.566611,-55.045,0.051,-0.003,0.781925,0.9934445,1.714426
5.35,4.666139,53.47306,0.046,-0.092,0.9487008,0.9924115,1.231931
5.05,4.665194,53.07972,-0.002,-0.013,1.342822,0.9382551,0.6056062
6.49,4.76675,76.61111,0.064,-0.136,1.038387,0.9848868,1.041715
5.31,4.620472,0.9983333,-0.004,-0.004,0.7752084,0.9930265,1.738424
6.47,4.641556,26.94,0.047,-0.058,1.302141,0.9458218,0.6506131
5.92,4.637722,20.68472,-0.015,-0.007,0.799244,0.9943325,1.65443
5.79,4.635944,16.03333,0.093,-0.023,0.9442073,0.9926812,1.242528
4.27,4.635972,12.51083,0.103,-0.013,0.8634652,0.9954395,1.45368
5.23,4.626694,-2.473333,0.042,-0.061,0.9308688,0.9934145,1.274651
5.79,4.559444,-62.82361,-0.115,-0.023,1.325317,0.9415493,0.6245921
6.3,4.614139,-30.71667,-0.011,0.013,0.781925,0.9934445,1.714426
6.22,4.656417,25.21833,0.017,-0.015,0.8797096,0.9952256,1.40781
5.07,4.652556,15.79972,0.039,-0.072,0.8756096,0.995297,1.419215
4.69,4.654583,15.91806,0.083,-0.018,0.8756096,0.995297,1.419215
5.39,4.651722,7.870833,0.094,-0.003,0.9220961,0.9938405,1.296338
3.87,4.636333,-14.30389,-0.075,-0.156,1.354547,0.9360177,0.5931965
5.67,4.690028,48.30083,0.042,-0.042,0.8099886,0.9947508,1.618527
5.01,4.648222,-12.12306,-0.053,-0.011,0.843752,0.9954435,1.511886
5.46,4.667611,12.19778,-0.001,-0.008,0.7752084,0.9930265,1.738424
6.76,4.380806,-82.89917,-0.018,0.003,0.8963644,0.9948192,1.36264
6.5,4.721694,59.52083,0.033,-0.049,1.302141,0.9458218,0.6506131
5.45,4.655472,-14.35917,0.122,-0.127,1.336976,0.9393615,0.611885
6.1,4.663111,-1.052778,0.025,-0.018,1.267758,0.9519608,0.6911988
5.99,4.697306,38.28028,0.241,-0.093,1.068326,0.9815733,0.9861831
5.78,4.688833,28.615,0.034,-0.03,0.8063781,0.9946213,1.630482
6.06,4.813972,75.94111,0.035,-0.135,0.9308688,0.9934145,1.274651
5.4,4.612667,-62.0775,-0.064,-0.084,1.647506,0.8738905,0.3449722
5.87,4.722667,49.97389,-0.004,-0.016,0.8247156,0.9951659,1.57089
5.29,4.715083,43.365,0.039,-0.052,0.8172955,0.9949792,1.594669
5.58,4.668556,-24.4825,-0.067,0.018,1.256405,0.9539321,0.7051516
4.32,4.674028,-19.67167,0.021,-0.096,1.665772,0.869665,0.3329922
4.28,4.704083,22.95694,-0.002,-0.016,0.7718961,0.9928048,1.750413
6.44,4.651194,-51.67278,0.017,0.017,1.491187,0.9084697,0.4632215
6.13,4.7205,24.08889,0.017,-0.022,1.053264,0.9832854,1.013674
6.08,4.736917,40.78694,0.003,-0.007,0.8398899,0.9954101,1.523629
6.45,4.730083,32.86528,-0.035,-0.042,1.302141,0.9458218,0.6506131
4.45,4.676028,-41.86389,-0.141,-0.077,0.957758,0.9918342,1.210907
5.05,4.700972,-37.14444,0.049,0.193,0.9715175,0.9908733,1.179802
6.53,4.67175,-58.94361,0.07,0.186,1.12508,0.9743699,0.8900779
6.82,4.726278,-8.793611,0.021,-0.012,0.9808048,0.9901694,1.159356
6.7,4.726417,-8.796111,0.032,-0.024,1.256405,0.9539321,0.7051516
5.4,4.7405,11.14611,0.1,-0.015,0.9177461,0.9940347,1.307261
5.9,4.734806,-8.503611,0.003,-0.002,0.7785514,0.9932398,1.726427
5.68,4.71925,-30.76556,-0.03,-0.067,1.544924,0.8969263,0.4191554
6.37,4.843444,70.94167,0.001,-0.02,0.788763,0.9938273,1.690417
5.3,4.800083,56.75722,0.05,-0.148,0.9177461,0.9940347,1.307261
6.35,4.761806,23.62806,0.007,-0.015,0.8398899,0.9954101,1.523629
5.53,4.735556,-18.66667,0.051,-0.018,0.8247156,0.9951659,1.57089
5.97,4.779,40.31278,-0.001,-0.029,1.262074,0.9529513,0.6981484
6.26,4.801944,55.6025,0.075,-0.102,1.302141,0.9458218,0.6506131
5.31,4.712889,-50.48139,-0.031,0.03,1.290627,0.9479049,0.663932
6.01,4.771333,18.735,0.072,-0.065,1.42594,0.9219321,0.5222255
6.25,4.728944,-41.06472,0.003,0.01,1.57494,0.8903149,0.3961679
5.37,4.767139,11.70556,0.068,-0.006,0.8921627,0.9949391,1.373863
4.02,4.758361,-3.254722,0.016,-0.013,0.765365,0.9923371,1.774358
5.72,4.751167,-21.28361,0.018,-0.025,1.580958,0.888976,0.3916917
6.33,4.773361,-2.954444,0.012,-0.047,0.8322476,0.9953098,1.547205
5.07,5.00575,81.19389,-0.001,0.024,1.467412,0.9134489,0.4839908
6.86,4.763778,-34.005,0.04,0.018,0.8172955,0.9949792,1.594669
6.19,4.773833,-28.0875,0.001,0.016,0.8921627,0.9949391,1.373863
6.05,4.765389,-39.35667,-0.059,-0.02,1.342822,0.9382551,0.6056062
5.44,4.868111,63.50528,0.037,-0.096,1.641429,0.8752886,0.3490357
5.86,4.821944,32.58833,0.018,-0.031,0.9134204,0.9942164,1.318236
5.58,4.820222,31.43722,0.017,-0.108,1.372211,0.932602,0.5749471
5.27,4.739194,-59.73278,0.033,0.039,0.8963644,0.9948192,1.36264
6.05,4.639361,-77.65611,-0.01,-0.018,1.360425,0.934887,0.587065
5.51,4.793417,-16.93444,0.133,0.17,1.098992,0.9778222,0.9328517
4.88,4.831833,37.48833,-0.038,0.04,1.562919,0.8929762,0.4052402
6.03,4.812389,3.588333,-0.001,-0.017,1.414119,0.924301,0.5336135
5.66,4.852583,48.74083,-0.04,-0.031,1.296378,0.9468679,0.6572466
5.78,4.810083,-5.673889,0.305,-0.243,1.093832,0.9784774,0.941588
6.08,4.828917,15.90417,0.005,-0.01,1.659678,0.8710787,0.3369508
5.77,4.809028,-16.32944,0.004,0.036,1.058264,0.9827269,1.004449
6.37,4.797111,-30.02028,0.039,0.094,1.342822,0.9382551,0.6056062
6.46,4.749417,-63.22972,-0.013,-0.005,1.348679,0.9371404,0.5993768
5.54,4.71775,-70.93111,0.008,0.033,0.7752084,0.9930265,1.738424
4.29,4.900833,66.34278,0,0.006,0.8284677,0.9952433,1.559035
3.19,4.830667,6.961389,0.466,0.012,1.009204,0.9877542,1.099447
4.36,4.843528,8.900278,0.004,-0.032,0.8209915,0.9950778,1.582768
6.26,4.828389,-13.76972,-0.122,-0.172,1.004415,0.9881883,1.109282
6.41,4.886056,52.84083,-0.008,-0.021,1.302141,0.9458218,0.6506131
5.1,4.85625,18.83972,0.08,-0.035,0.9005912,0.994687,1.351465
6.72,4.809389,-43.98,0.018,0.022,1.273455,0.9509609,0.6843027
5.03,4.836556,-16.21722,0.041,0.054,1.290627,0.9479049,0.663932
5.71,4.879944,42.58667,-0.006,-0.001,0.8594694,0.9954634,1.465249
4.78,4.877222,36.70306,-0.027,-0.007,1.544924,0.8969263,0.4191554
3.69,4.853444,5.605,-0.001,0.001,0.75896,0.9918383,1.798239
6.11,4.862056,9.975,0.001,-0.008,0.8476411,0.9954656,1.500175
5.97,4.87975,27.8975,0.041,-0.032,0.9715175,0.9908733,1.179802
5.52,4.917528,55.25917,-0.012,-0.01,0.8322476,0.9953098,1.547205
4.74,4.875556,14.25056,0,-0.057,1.8076,0.8357696,0.250765
6.07,4.837833,-41.32083,0.006,0.065,0.9715175,0.9908733,1.179802
6.08,4.91425,44.06083,0.027,-0.053,0.8099886,0.9947508,1.618527
5.86,4.857833,-34.90639,0.026,-0.022,0.8476411,0.9954656,1.500175
4.39,4.881583,-5.452778,-0.023,0.021,0.9177461,0.9940347,1.307261
5.75,4.935306,52.86944,-0.003,0.008,0.8594694,0.9954634,1.465249
5.33,4.889667,2.508056,0.034,-0.019,1.68409,0.8653929,0.3213205
5.61,4.848667,-53.46139,-0.091,0.083,0.9532177,0.9921292,1.221391
6.42,4.848972,-53.45972,-0.092,0.081,1.302141,0.9458218,0.6506131
6.61,4.898833,1.569444,0.009,-0.003,0.8322476,0.9953098,1.547205
6.37,4.916194,19.48528,0.06,-0.038,0.9352911,0.9931827,1.263889
3.72,4.904194,2.440556,0,0,0.7558053,0.9915778,1.810148
4.47,4.954778,53.75222,-0.024,0.007,0.8099886,0.9947508,1.618527
5.19,4.913028,11.42611,-0.009,0.032,0.8634652,0.9954395,1.45368
4.65,4.914944,10.15083,0.046,-0.132,0.8515572,0.9954764,1.488497
5.33,4.913278,7.779167,-0.021,-0.027,1.431855,0.9207385,0.5166105
6.06,5.038917,74.26917,0.021,0.034,1.641429,0.8752886,0.3490357
6.07,4.938861,36.16889,-0.017,0.013,0.9901823,0.9894148,1.139147
5.99,4.914083,0.4675,0,0.003,0.7752084,0.9930265,1.738424
6.37,4.937667,24.59222,-0.026,-0.017,0.9532177,0.9921292,1.221391
5.81,4.930639,15.04,0.018,-0.021,0.788763,0.9938273,1.690417
2.69,4.949889,33.16611,0.003,-0.018,1.617176,0.880828,0.3656496
6.5,4.932889,5.399167,-0.004,-0.009,0.8247156,0.9951659,1.57089
5.7,4.918556,-16.74056,0.008,0.001,1.279166,0.9499515,0.6774598
4.07,4.939528,13.51444,-0.074,-0.047,1.389962,0.9291172,0.5571284
5.72,4.921833,-16.41778,0.01,0.045,1.233874,0.9577577,0.733708
5.51,4.940056,-5.171389,-0.008,-0.007,0.7718961,0.9928048,1.750413
6.72,4.925056,-25.72778,0.018,0.028,0.9264704,0.9936338,1.285468
6.1,4.915222,-39.62861,-0.003,0.022,1.550918,0.8956152,0.4144755
5.48,4.956194,17.15361,-0.013,-0.007,1.485238,0.9097234,0.468343
5.79,4.963528,23.94861,0.008,-0.007,1.366313,0.9337484,0.580982
6.66,5.070278,73.76389,0.021,-0.016,1.302141,0.9458218,0.6506131
6.08,4.996194,53.15556,-0.014,-0.009,1.57494,0.8903149,0.3961679
5.96,5.077722,74.06694,0.013,-0.016,1.302141,0.9458218,0.6506131
5.81,4.969278,25.05028,0.022,-0.048,0.8172955,0.9949792,1.594669
6.23,4.954778,-1.067222,-0.037,-0.028,0.9949045,0.9890186,1.129132
4.94,4.987611,37.89028,0.04,-0.101,0.8322476,0.9953098,1.547205
6.03,5.026639,61.07806,0.008,-0.175,0.9901823,0.9894148,1.139147
6.19,5.047333,66.82278,0.066,-0.345,1.023699,0.9863767,1.070307
6.15,4.962444,-14.23139,0.01,0.011,0.7465358,0.9907548,1.845714
6.35,4.969667,-2.2125,-0.003,0.025,0.8555,0.9954757,1.476855
6.12,4.914722,-58.54722,0.101,0.077,1.004415,0.9881883,1.109282
6.41,4.891806,-66.67556,0,0.01,1.677979,0.8668221,0.3251773
5.95,5.005083,39.39472,-0.017,0.004,0.9901823,0.9894148,1.139147
6.09,4.983167,14.54278,0.006,-0.017,0.8322476,0.9953098,1.547205
4.47,4.975806,1.714167,-0.002,-0.003,1.538936,0.8982318,0.4238772
6.58,5.006444,39.655,0.002,0.006,1.302141,0.9458218,0.6506131
4.03,5.056972,60.44222,-0.006,-0.016,1.256405,0.9539321,0.7051516
5.66,4.983694,-16.37583,-0.141,0.148,0.9996489,0.9886097,1.119177
2.99,5.032806,43.82333,-0.001,-0.004,1.053264,0.9832854,1.013674
6.28,4.884861,-72.4075,-0.052,0.276,1.043325,0.9843654,1.032307
5.38,4.997333,-10.26333,0.02,-0.135,1.189549,0.9649212,0.7934883
7.03,5.009056,3.615278,0.025,0.001,1.302141,0.9458218,0.6506131
6.66,5.009417,3.616111,0.007,-0.012,0.792227,0.9940051,1.678416
4.79,4.998833,-12.5375,0.045,-0.091,0.9220961,0.9938405,1.296338
3.75,5.041306,41.07583,0.009,-0.022,1.431855,0.9207385,0.5166105
6.32,5.011056,-2.065556,-0.019,0.008,0.9308688,0.9934145,1.274651
6.22,5.013611,-5.753333,0.551,-1.094,1.336976,0.9393615,0.611885
6.14,5.055167,41.44167,0.002,-0.004,0.8797096,0.9952256,1.40781
6.51,5.53,85.93861,0.013,-0.079,0.9487008,0.9924115,1.231931
4.81,5.023972,-7.173889,0.003,0.008,0.7526829,0.9913102,1.822032
5.92,5.030639,0.7222222,0.001,-0.012,1.461477,0.9146789,0.4893029
6.24,5.033333,1.608889,-0.009,0.012,0.8027965,0.9944818,1.64245
4.64,5.051583,21.59,0.066,-0.042,0.8797096,0.9952256,1.40781
4.91,5.023778,-20.05194,0.034,-0.015,0.799244,0.9943325,1.65443
5.08,5.102361,58.9725,-0.005,-0.008,0.788763,0.9938273,1.690417
6.08,5.103389,59.02111,-0.001,-0.031,1.372211,0.932602,0.5749471
6.04,5.10825,61.17,0.036,-0.075,1.520997,0.9021141,0.4382997
5.85,5.045972,-4.209722,0.055,0.016,1.42594,0.9219321,0.5222255
6.14,5.070694,30.49472,0.001,-0.005,1.42594,0.9219321,0.5222255
6.62,5.076917,32.32028,-0.011,-0.07,0.9264704,0.9936338,1.285468
5.02,5.036056,-26.275,0.089,-0.073,1.342822,0.9382551,0.6056062
5.47,4.919778,-74.93694,0.024,0.059,1.611126,0.8821995,0.369895
7.24,5.106111,54.40583,-0.014,0.028,1.302141,0.9458218,0.6506131
6.03,5.02625,-39.71806,-0.001,0.03,1.233874,0.9577577,0.733708
6.6,5.077194,27.69611,0.019,-0.031,0.9134204,0.9942164,1.318236
6.19,5.072667,21.27806,0.02,-0.015,1.491187,0.9084697,0.4632215
5.75,5.045806,-22.795,0.059,0.023,1.420028,0.9231197,0.5278929
5.94,5.039667,-31.77139,-0.002,0.082,1.40184,0.9267572,0.5454844
6.41,5.160194,69.63944,0.056,-0.063,1.366313,0.9337484,0.580982
5,5.111278,51.59778,-0.03,-0.173,0.9532177,0.9921292,1.221391
4.68,5.076139,15.40417,0.016,-0.034,0.7957208,0.9941736,1.666419
6.52,5.10025,35.93639,-0.011,-0.01,0.8797096,0.9952256,1.40781
6.41,5.064444,-14.36944,-0.009,0.033,0.7558053,0.9915778,1.810148
3.17,5.108583,41.23444,0.029,-0.068,0.7558053,0.9915778,1.810148
6.44,5.09225,19.80639,-0.009,-0.022,0.9005912,0.994687,1.351465
5.43,5.206222,73.94667,0,-0.025,0.7752084,0.9930265,1.738424
6.2,5.113778,43.17472,0.005,0,0.9996489,0.9886097,1.119177
5.61,5.064806,-24.38778,0.024,-0.028,0.8555,0.9954757,1.476855
6.05,5.081806,-3.039722,0.001,-0.001,0.7785514,0.9932398,1.726427
6.41,5.162361,64.91944,-0.015,-0.182,0.9854823,0.9897984,1.149222
6.17,5.089917,1.1775,0.012,-0.007,2.849864,0.5539441,-0.028226
5.38,5.046833,-49.15139,-0.044,0.024,0.9949045,0.9890186,1.129132
6.37,5.243222,76.47278,-0.007,-0.008,0.8099886,0.9947508,1.618527
6.31,5.065,-41.745,0.027,0.152,1.048284,0.9838315,1.02296
4.55,5.073444,-35.48333,0.129,-0.051,1.420028,0.9231197,0.5278929
6.34,5.073917,-35.70528,0.028,0.038,0.9397373,0.9929382,1.253181
3.19,5.091028,-22.37111,0.025,-0.074,1.57494,0.8903149,0.3961679
5.73,5.087833,-26.1525,0.007,-0.065,1.40184,0.9267572,0.5454844
5,5.124167,18.645,0.537,0.016,1.10937,0.9764765,0.9155611
5.12,5.112694,-4.655,0.016,0.008,0.7957208,0.9941736,1.666419
5.3,5.130111,20.41833,-0.047,-0.034,0.8515572,0.9954764,1.488497
5.5,5.135167,24.26528,0,-0.004,0.8398899,0.9954101,1.523629
5.89,5.132083,21.70472,0.005,-0.006,0.8921627,0.9949391,1.373863
6.05,5.110194,-13.12194,0.019,0.035,0.7957208,0.9941736,1.666419
6.17,5.127306,9.471944,-0.003,-0.378,1.093832,0.9784774,0.941588
5.03,5.082778,-49.57778,0.071,-0.003,1.59301,0.8862817,0.3828574
5.34,5.131361,8.498333,0.024,-0.065,0.9532177,0.9921292,1.221391
5.97,5.123611,-12.49056,0.14,-0.08,1.08357,0.9797518,0.959243
2.79,5.130833,-5.086389,-0.095,-0.081,0.8674873,0.9954039,1.442151
6.27,5.0835,-54.4075,0.002,0,1.623231,0.8794511,0.3614414
5.68,5.178583,46.96222,0.055,-0.147,0.9949045,0.9890186,1.129132
6.02,5.171917,37.30194,0.004,-0.006,1.146286,0.9713996,0.8569388
6.01,5.162528,28.03056,0.054,-0.06,0.9264704,0.9936338,1.285468
5.78,5.138944,-8.665,0.005,-0.012,0.7957208,0.9941736,1.666419
5.43,5.155444,9.829444,0.064,-0.007,0.9134204,0.9942164,1.318236
5.12,5.145444,-4.456111,0.044,0.017,1.004415,0.9881883,1.109282
4.72,5.091833,-57.47278,-0.03,0.115,1.043325,0.9843654,1.032307
6.17,5.217556,61.85,0.011,0.006,0.8247156,0.9951659,1.57089
4.82,5.161667,15.59722,0.002,-0.013,0.9487008,0.9924115,1.231931
5.31,5.045278,-71.31444,-0.005,0.004,1.302141,0.9458218,0.6506131
6.5,5.225361,62.69139,-0.036,0.006,0.9005912,0.994687,1.351465
4.27,5.152444,-8.754167,0.002,-0.004,0.7526829,0.9913102,1.822032
6.52,5.137444,-35.71833,0.009,0.001,1.348679,0.9371404,0.5993768
6.1,5.167556,-0.5652778,0.001,-0.053,1.360425,0.934887,0.587065
6.29,5.003667,-78.30028,-0.023,-0.012,1.605082,0.8835657,0.3741778
5.74,5.303694,73.26806,-0.005,-0.033,1.302141,0.9458218,0.6506131
5.18,5.194889,16.04556,0.005,0.007,1.59301,0.8862817,0.3828574
6.25,5.182778,-2.253889,0.075,-0.145,1.290627,0.9479049,0.663932
5.05,5.375972,79.23111,-0.082,0.161,1.018846,0.9868484,1.07996
5.9,5.188667,-2.490833,0.079,0.001,1.014014,0.9873076,1.089673
6.15,5.253139,59.40556,0.012,-0.014,1.407792,0.9255665,0.539732
4.86,5.223806,38.48444,-0.018,-0.075,0.8879863,0.9950467,1.385133
6.67,5.194833,0.5147222,0.015,0.003,0.792227,0.9940051,1.678416
5.89,5.195917,1.036944,-0.012,-0.015,1.114588,0.9757859,0.9070064
6.2,5.245639,53.21389,0,0.001,0.843752,0.9954435,1.511886
5.68,5.189667,-11.84917,0.028,0.056,1.57494,0.8903149,0.3961679
6.41,5.179028,-25.90944,-0.015,0.059,1.449618,0.9171209,0.5000749
5.2,5.126111,-63.39972,0.015,-0.047,1.690208,0.8639587,0.3174968
4.45,5.204972,-11.86917,0.027,-0.015,0.781925,0.9934445,1.714426
5.91,5.213389,-6.057222,0.027,-0.032,1.279166,0.9499515,0.6774598
4.46,5.221528,2.861111,0.001,-0.006,1.414119,0.924301,0.5336135
6.57,5.193306,-37.39528,0.007,0.004,1.671872,0.8682461,0.3290678
6.27,5.102583,-73.03778,0.016,0.064,0.8136278,0.9948701,1.606589
6.09,5.225444,1.968056,0.01,0.012,0.9949045,0.9890186,1.129132
3.31,5.215528,-16.20556,0.043,-0.026,0.7785514,0.9932398,1.726427
6.32,5.229778,0.5602778,0.003,-0.025,1.57494,0.8903149,0.3961679
6.37,5.225917,-8.147778,0.002,0,0.7718961,0.9928048,1.750413
4.36,5.220528,-12.94139,-0.014,-0.009,0.781925,0.9934445,1.714426
5.02,5.256778,32.68778,-0.024,0.014,0.9091193,0.9943857,1.329262
6.5,5.288278,53.58611,0.016,-0.021,1.696332,0.8625193,0.3137062
0.08,5.278167,45.99806,0.076,-0.425,1.189549,0.9649212,0.7934883
5.5,5.245583,5.156111,-0.001,0.004,1.520997,0.9021141,0.4382997
6.21,5.233306,-14.60667,-0.003,0.009,0.9715175,0.9908733,1.179802
6.27,5.257694,22.28472,-0.008,-0.011,0.8476411,0.9954656,1.500175
5.96,5.271722,34.31194,0.008,0.03,0.9048428,0.9945425,1.340338
0.12,5.242306,-8.201667,0,-0.001,0.8063781,0.9946213,1.630482
6.6,5.730194,85.66806,-0.016,0.002,1.302141,0.9458218,0.6506131
6.98,5.229583,-35.82556,0.036,-0.051,1.580958,0.888976,0.3916917
5.85,4.980806,-82.47056,-0.011,0.004,1.262074,0.9529513,0.6981484
6.15,5.255111,-1.409167,-0.043,0.037,0.9808048,0.9901694,1.159356
5.56,5.267806,11.34139,-0.009,-0.005,0.8027965,0.9944818,1.64245
6.13,5.324389,58.11722,0.004,-0.021,0.8063781,0.9946213,1.630482
5.61,5.339611,62.65361,-0.003,-0.002,1.751717,0.8493406,0.2810216
5.76,5.241333,-35.97722,0.016,0.004,1.307917,0.9447668,0.6440313
